Car_ID,Brand,Model_Year,Body_Type,Fuel_Type,Transmission,Engine_L,Horsepower,Mileage_kmpl,KM_Driven,Region,City,Selling_Price_Lakh,Profit_Lakh,Units_Sold
CAR10001,Honda,2025,Coupe,Hybrid,Automatic,3.8,223,28.7,121267,Central,Ahmedabad,25.84,2.46,6
CAR10002,Maruti Suzuki,2017,SUV,Petrol,Manual,3.8,221,17.2,152248,East,Jaipur,9.83,2.32,5
CAR10003,Tata,2020,Pickup,Electric,Automatic,1.7,99,35.0,34603,North,Mumbai,14.72,2.17,8
CAR10004,Hyundai,2021,SUV,Petrol,Manual,1.0,112,25.7,97854,Central,Bengaluru,13.57,3.03,6
CAR10005,Hyundai,2024,Hatchback,Diesel,Manual,2.1,110,22.0,170292,Central,Delhi,11.53,1.52,10
CAR10006,Nissan,2018,Convertible,Petrol,Automatic,1.5,82,26.5,143045,South,Kolkata,19.42,3.6,8
CAR10007,Honda,2021,SUV,Diesel,Automatic,2.5,137,16.3,75537,East,Kolkata,18.19,1.99,5
CAR10008,Mahindra,2018,Hatchback,Petrol,CVT,4.9,316,17.3,167112,North,Delhi,9.4,1.03,3
CAR10009,BMW,2024,Hatchback,Petrol,AMT,1.6,92,25.9,59689,Central,Pune,49.04,9.06,4
CAR10010,Honda,2023,SUV,Diesel,CVT,2.1,167,20.9,9088,West,Delhi,24.56,2.91,1
CAR10011,Kia,2021,Hatchback,Petrol,AMT,3.8,210,25.4,144400,North,Ahmedabad,11.13,1.53,2
CAR10012,Jeep,2020,Sedan,Petrol,AMT,2.9,162,21.3,77117,West,Ahmedabad,21.79,3.84,6
CAR10013,Maruti Suzuki,2018,Hatchback,CNG,Manual,1.0,17,31.9,11003,East,Jaipur,3.89,0.73,1
CAR10014,Maruti Suzuki,2026,SUV,Petrol,Automatic,1.5,54,24.6,40721,East,Mumbai,12.7,2.65,6
CAR10015,Mahindra,2023,Sedan,Diesel,Manual,4.7,290,18.5,17594,South,Jaipur,17.9,4.13,1
CAR10016,Maruti Suzuki,2020,SUV,Diesel,Manual,1.2,93,31.0,179434,Central,Hyderabad,10.85,1.76,2
CAR10017,Kia,2021,Sedan,Petrol,Manual,3.5,198,29.0,153348,East,Jaipur,10.81,1.72,8
CAR10018,Honda,2024,Hatchback,Diesel,CVT,4.1,194,22.4,167674,Central,Pune,13.14,2.28,1
CAR10019,Nissan,2024,SUV,Petrol,AMT,1.9,107,28.7,36853,North,Pune,15.6,1.52,4
CAR10020,Hyundai,2021,Sedan,Hybrid,DCT,3.8,236,33.0,145382,East,Delhi,15.86,3.77,3
CAR10021,Kia,2020,SUV,Petrol,DCT,1.5,151,27.1,103653,South,Pune,14.93,1.68,1
CAR10022,Audi,2023,Hatchback,Petrol,CVT,2.0,94,29.9,56778,Central,Kolkata,40.16,4.81,3
CAR10023,Ford,2023,Hatchback,Petrol,Manual,2.1,132,27.3,122053,East,Jaipur,13.57,1.71,2
CAR10024,Skoda,2022,Sedan,CNG,CVT,5.0,280,23.4,171617,West,Pune,15.94,2.57,1
